#time,date,susceptible,exposed,infectious,recovered,dead,immune,num infections today,num hospitalisations today,hospital bed occupancy,num hospitalisations today (data),cum num hospitalisations today,cum num infections today
1,2/3/2020,688045,1563,1199,852,2,0,465,3,26,0.0,3,465
2,3/3/2020,687525,1720,1402,1010,4,0,520,9,32,0.0,12,985
3,4/3/2020,686895,1965,1602,1195,4,0,630,9,39,0.0,21,1615
4,5/3/2020,686208,2238,1804,1406,5,0,687,8,46,0.0,29,2302
5,6/3/2020,685462,2484,2070,1638,7,0,746,9,53,0.0,38,3048
6,7/3/2020,684577,2764,2400,1911,9,0,885,7,52,0.0,45,3933
7,8/3/2020,683624,3144,2639,2243,11,0,953,9,58,0.0,54,4886
8,9/3/2020,682514,3580,2942,2611,14,0,1110,8,60,0.0,62,5996
9,10/3/2020,681288,4031,3310,3017,15,0,1226,19,76,0.0,81,7222
10,11/3/2020,679903,4501,3779,3462,16,0,1385,17,91,0.0,98,8607
11,12/3/2020,678329,5083,4138,4092,19,0,1574,18,101,0.0,116,10181
12,13/3/2020,677169,5132,4706,4632,22,0,1160,22,118,0.0,138,11341
13,14/3/2020,675962,5099,5293,5281,26,0,1207,25,129,0.0,163,12548
14,15/3/2020,674564,5245,5834,5991,27,0,1398,24,146,0.0,187,13946
15,16/3/2020,673055,5442,6283,6848,33,0,1509,31,163,0.0,218,15455
16,17/3/2020,671878,5280,6667,7795,41,0,1177,46,194,0.0,264,16632
17,18/3/2020,670585,5251,6964,8813,48,0,1293,29,202,0.0,293,17925
18,19/3/2020,669278,5239,7157,9928,59,0,1307,60,245,0.0,353,19232
19,20/3/2020,668006,5171,7364,11058,62,0,1272,50,270,0.0,403,20504
20,21/3/2020,666932,4905,7478,12277,69,0,1074,39,286,0.0,442,21578
21,22/3/2020,665840,4765,7485,13496,75,0,1092,41,299,0.0,483,22670
22,23/3/2020,664771,4628,7445,14737,80,0,1070,79,346,0.0,562,23740
23,24/3/2020,664228,3955,7403,15986,89,0,543,59,374,0.0,621,24283
24,25/3/2020,663660,3428,7238,17235,100,0,568,73,406,0.0,694,24851
25,26/3/2020,663126,2975,7008,18442,110,0,534,68,434,0.0,762,25385
26,27/3/2020,662600,2626,6635,19677,123,0,526,71,465,0.0,833,25911
27,28/3/2020,662147,2292,6212,20878,132,0,453,75,504,0.0,908,26364
28,29/3/2020,661700,2082,5699,22035,145,0,447,68,519,0.0,976,26811
29,30/3/2020,661289,1925,5200,23092,155,0,411,82,555,0.0,1058,27222
30,31/3/2020,660926,1742,4729,24087,177,0,363,73,566,0.0,1131,27585
31,1/4/2020,660554,1675,4245,24990,197,0,372,68,566,0.0,1199,27957
32,2/4/2020,660264,1523,3882,25776,216,0,290,75,584,0.0,1274,28247
33,3/4/2020,659982,1378,3586,26485,230,0,282,57,573,0.0,1331,28529
34,4/4/2020,659721,1252,3247,27194,247,0,261,58,557,0.0,1389,28790
35,5/4/2020,659506,1126,3004,27757,268,0,215,65,550,0.0,1454,29005
36,6/4/2020,659261,1071,2753,28288,288,0,245,42,511,0.0,1496,29250
37,7/4/2020,659043,990,2560,28753,315,0,218,40,469,0.0,1536,29468
38,8/4/2020,658846,931,2331,29228,325,0,197,37,442,0.0,1573,29665
39,9/4/2020,658662,861,2149,29648,341,0,184,37,418,0.0,1610,29849
40,10/4/2020,658464,824,1990,30022,361,0,198,32,389,0.0,1642,30047
41,11/4/2020,658331,740,1850,30361,379,0,134,26,363,0.0,1668,30181
42,12/4/2020,658212,648,1692,30707,402,0,120,23,328,0.0,1691,30301
43,13/4/2020,658084,584,1569,31004,420,0,128,25,294,0.0,1716,30429
44,14/4/2020,657957,528,1471,31275,430,0,127,23,275,0.0,1739,30556
45,15/4/2020,657860,491,1308,31557,445,0,97,17,237,0.0,1756,30653
46,16/4/2020,657749,472,1189,31795,456,0,112,18,210,0.0,1774,30765
47,17/4/2020,657659,434,1123,31980,465,0,90,18,204,0.0,1792,30855
48,18/4/2020,657564,424,1001,32196,476,0,95,21,186,0.0,1813,30950
49,19/4/2020,657489,400,927,32360,485,0,76,13,170,0.0,1826,31026
50,20/4/2020,657412,359,848,32550,492,0,77,5,146,0.0,1831,31103
51,21/4/2020,657339,340,756,32728,498,0,73,6,130,0.0,1837,31176
52,22/4/2020,657266,319,716,32859,501,0,73,12,125,0.0,1849,31249
53,23/4/2020,657212,284,673,32989,503,0,55,6,113,0.0,1855,31304
54,24/4/2020,657146,278,600,33128,509,0,66,14,109,0.0,1869,31370
55,25/4/2020,657106,223,582,33236,514,0,40,5,86,0.0,1874,31410
56,26/4/2020,657068,204,538,33334,517,0,39,12,88,0.0,1886,31449
57,27/4/2020,657025,189,507,33416,524,0,43,4,77,0.0,1890,31492
58,28/4/2020,656991,171,471,33498,530,0,34,7,69,0.0,1897,31526
59,29/4/2020,656952,157,438,33581,533,0,39,11,72,0.0,1908,31565
60,30/4/2020,656921,154,388,33659,539,0,31,6,68,0.0,1914,31596
61,1/5/2020,656894,138,357,33728,544,0,27,8,65,0.0,1922,31623
62,2/5/2020,656873,120,329,33792,547,0,22,4,62,0.0,1926,31645
63,3/5/2020,656845,111,308,33848,549,0,28,0,50,0.0,1926,31673
64,4/5/2020,656821,99,288,33903,550,0,25,6,46,0.0,1932,31698
65,5/5/2020,656797,103,256,33952,553,0,24,6,44,0.0,1938,31722
66,6/5/2020,656776,95,232,34004,554,0,22,2,39,0.0,1940,31744
67,7/5/2020,656756,100,208,34041,556,0,20,4,39,0.0,1944,31764
68,8/5/2020,656743,87,193,34080,558,0,13,4,30,0.0,1948,31777
69,9/5/2020,656725,81,185,34111,559,0,19,6,31,0.0,1954,31796
70,10/5/2020,656699,80,171,34150,561,0,26,2,28,0.0,1956,31822
71,11/5/2020,656691,69,160,34180,561,0,8,2,29,0.0,1958,31830
72,12/5/2020,656680,61,153,34205,562,0,11,3,29,0.0,1961,31841
73,13/5/2020,656668,58,142,34230,563,0,12,4,29,0.0,1965,31853
74,14/5/2020,656662,49,134,34253,563,0,6,1,28,0.0,1966,31859
75,15/5/2020,656653,48,122,34275,563,0,9,0,25,0.0,1966,31868
