#time,date,susceptible,exposed,infectious,recovered,dead,immune,num infections today,num hospitalisations today,hospital bed occupancy,num hospitalisations today (data),cum num hospitalisations today,cum num infections today
1,2/3/2020,688906,1538,1182,830,1,0,424,4,15,0.0,4,424
2,3/3/2020,688392,1705,1357,1002,1,0,514,2,17,0.0,6,938
3,4/3/2020,687825,1905,1531,1195,1,0,567,4,19,0.0,10,1505
4,5/3/2020,687225,2068,1761,1402,1,0,600,7,24,0.0,17,2105
5,6/3/2020,686454,2350,2006,1644,3,0,771,6,28,0.0,23,2876
6,7/3/2020,685647,2625,2274,1908,3,0,807,10,36,0.0,33,3683
7,8/3/2020,684667,2998,2565,2224,3,0,980,12,47,0.0,45,4663
8,9/3/2020,683584,3409,2875,2584,5,0,1083,14,56,0.0,59,5746
9,10/3/2020,682421,3810,3232,2989,5,0,1164,11,67,0.0,70,6910
10,11/3/2020,681083,4300,3593,3476,5,0,1338,20,84,0.0,90,8248
11,12/3/2020,679604,4824,4020,4003,6,0,1479,17,97,0.0,107,9727
12,13/3/2020,678526,4820,4566,4538,7,0,1078,19,108,0.0,126,10805
13,14/3/2020,677308,4897,5074,5170,8,0,1218,24,124,0.0,150,12023
14,15/3/2020,675983,4977,5602,5883,12,0,1325,29,138,0.0,179,13348
15,16/3/2020,674497,5260,5971,6710,19,0,1486,26,148,0.0,205,14834
16,17/3/2020,673280,5214,6346,7594,23,0,1217,34,171,0.0,239,16051
17,18/3/2020,672022,5186,6662,8558,29,0,1258,29,185,0.0,268,17309
18,19/3/2020,670707,5258,6851,9610,31,0,1315,35,205,0.0,303,18624
19,20/3/2020,669446,5180,7111,10677,43,0,1261,38,220,0.0,341,19885
20,21/3/2020,668380,4901,7264,11863,49,0,1067,36,235,0.0,377,20952
21,22/3/2020,667278,4779,7294,13048,58,0,1102,57,265,0.0,434,22054
22,23/3/2020,666217,4626,7269,14284,61,0,1062,50,292,0.0,484,23116
23,24/3/2020,665629,4018,7241,15500,69,0,588,59,319,0.0,543,23704
24,25/3/2020,665068,3471,7138,16708,72,0,561,70,363,0.0,613,24265
25,26/3/2020,664520,3073,6863,17919,82,0,548,69,406,0.0,682,24813
26,27/3/2020,664029,2607,6568,19162,91,0,491,61,430,0.0,743,25304
27,28/3/2020,663563,2309,6118,20364,103,0,467,74,460,0.0,817,25771
28,29/3/2020,663119,2102,5630,21495,111,0,444,76,496,0.0,893,26215
29,30/3/2020,662704,1888,5195,22549,121,0,415,87,536,0.0,980,26630
30,31/3/2020,662302,1765,4694,23564,132,0,402,84,558,0.0,1064,27032
31,1/4/2020,661987,1611,4255,24448,156,0,316,72,558,0.0,1136,27348
32,2/4/2020,661722,1426,3871,25265,173,0,265,72,574,0.0,1208,27613
33,3/4/2020,661418,1335,3564,25957,183,0,304,55,564,0.0,1263,27917
34,4/4/2020,661156,1228,3260,26619,194,0,262,60,562,0.0,1323,28179
35,5/4/2020,660904,1148,3010,27183,212,0,253,47,537,0.0,1370,28432
36,6/4/2020,660668,1068,2789,27696,236,0,236,43,495,0.0,1413,28668
37,7/4/2020,660442,1012,2568,28178,257,0,227,49,466,0.0,1462,28895
38,8/4/2020,660264,906,2382,28630,275,0,178,35,434,0.0,1497,29073
39,9/4/2020,660079,838,2204,29039,297,0,185,48,416,0.0,1545,29258
40,10/4/2020,659892,802,2039,29412,312,0,187,34,399,0.0,1579,29445
41,11/4/2020,659738,741,1899,29748,331,0,155,39,380,0.0,1618,29600
42,12/4/2020,659592,703,1750,30061,351,0,146,33,359,0.0,1651,29746
43,13/4/2020,659465,642,1628,30360,362,0,127,32,341,0.0,1683,29873
44,14/4/2020,659330,608,1509,30628,382,0,135,28,318,0.0,1711,30008
