time,source,destination,E/D-age-gender-origin,legal_status-employment-property_in_ukraine-sizeE-sizeD
1, poland, chernihivska, E-39-f-chernihivska, tp-True-5-2-1
1, poland, chernihivska, E-88-f-chernihivska, tp-True-5-2-1
1, poland, chernihivska, E-26-m-chernihivska, tp-True-5-2-1
1, germany, autonomous_republic_of_crimea, E-29-f-autonomous_republic_of_crimea, tp-True-5-1-1
1, germany, autonomous_republic_of_crimea, E-31-f-autonomous_republic_of_crimea, tp-True-5-1-1
1, germany, autonomous_republic_of_crimea, E-8-m-autonomous_republic_of_crimea, tp-True-2-2-0
1, germany, autonomous_republic_of_crimea, E-45-f-autonomous_republic_of_crimea, tp-True-2-2-0
1, netherlands, odeska, E-33-m-odeska, tp-True-1-1-1
1, netherlands, odeska, E-35-m-odeska, tp-True-1-1-1
2, republic_of_moldova, poltavska, E-48-f-poltavska, tp-True-5-2-1
2, republic_of_moldova, poltavska, E-59-f-poltavska, tp-True-5-2-1
2, republic_of_moldova, poltavska, E-79-m-poltavska, tp-True-5-2-1
2, czechia, dnipropetrovska, E-33-f-dnipropetrovska, tp-True-3-3-0
2, czechia, dnipropetrovska, E-62-f-dnipropetrovska, tp-True-3-3-0
2, czechia, dnipropetrovska, E-51-m-dnipropetrovska, tp-True-3-3-0
2, germany, autonomous_republic_of_crimea, E-46-m-autonomous_republic_of_crimea, tp-True-2-3-0
2, germany, autonomous_republic_of_crimea, E-45-m-autonomous_republic_of_crimea, tp-True-2-3-0
2, germany, autonomous_republic_of_crimea, E-43-f-autonomous_republic_of_crimea, tp-True-2-3-0
2, spain, dnipropetrovska, E-11-f-dnipropetrovska, tp-True-5-2-1
2, spain, dnipropetrovska, E-35-f-dnipropetrovska, tp-True-5-2-1
2, spain, dnipropetrovska, E-55-m-dnipropetrovska, tp-True-5-2-1
3, italy, odeska, E-13-f-odeska, tp-True-5-1-1
3, italy, odeska, E-20-f-odeska, tp-True-5-1-1
3, france, zaporizka, E-55-f-zaporizka, tp-True-5-3-2
3, france, zaporizka, E-50-f-zaporizka, tp-True-5-3-2
3, france, zaporizka, E-45-f-zaporizka, tp-True-5-3-2
3, france, zaporizka, E-74-f-zaporizka, tp-True-5-3-2
3, france, zaporizka, E-50-f-zaporizka, tp-True-5-3-2
4, poland, chernihivska, E-47-f-chernihivska, tp-True-3-1-2
4, poland, chernihivska, E-4-f-chernihivska, tp-True-3-1-2
4, poland, chernihivska, E-14-f-chernihivska, tp-True-3-1-2
4, slovakia, donetska, E-11-f-donetska, tp-True-5-1-2
4, slovakia, donetska, E-56-f-donetska, tp-True-5-1-2
4, slovakia, donetska, E-10-f-donetska, tp-True-5-1-2
4, latvia, sumska, E-42-m-sumska, tp-True-5-4-0
4, latvia, sumska, E-73-m-sumska, tp-True-5-4-0
4, latvia, sumska, E-31-f-sumska, tp-True-5-4-0
4, latvia, sumska, E-3-f-sumska, tp-True-5-4-0
4, germany, autonomous_republic_of_crimea, E-40-f-autonomous_republic_of_crimea, tp-True-2-2-1
4, germany, autonomous_republic_of_crimea, E-17-m-autonomous_republic_of_crimea, tp-True-2-2-1
4, germany, autonomous_republic_of_crimea, E-19-m-autonomous_republic_of_crimea, tp-True-2-2-1
5, poland, chernihivska, E-50-m-chernihivska, tp-True-5-2-3
5, poland, chernihivska, E-8-m-chernihivska, tp-True-5-2-3
5, poland, chernihivska, E-21-f-chernihivska, tp-True-5-2-3
5, poland, chernihivska, E-0-m-chernihivska, tp-True-5-2-3
5, poland, chernihivska, E-9-f-chernihivska, tp-True-5-2-3
5, netherlands, odeska, E-18-f-odeska, tp-True-5-3-1
5, netherlands, odeska, E-9-m-odeska, tp-True-5-3-1
5, netherlands, odeska, E-19-m-odeska, tp-True-5-3-1
5, netherlands, odeska, E-26-f-odeska, tp-True-5-3-1
6, poland, chernihivska, E-40-m-chernihivska, tp-True-5-4-1
6, poland, chernihivska, E-27-m-chernihivska, tp-True-5-4-1
6, poland, chernihivska, E-31-f-chernihivska, tp-True-5-4-1
6, poland, chernihivska, E-21-f-chernihivska, tp-True-5-4-1
6, poland, chernihivska, E-3-m-chernihivska, tp-True-5-4-1
6, poland, chernihivska, E-64-f-chernihivska, tp-True-1-2-0
6, poland, chernihivska, E-15-m-chernihivska, tp-True-1-2-0
6, czechia, dnipropetrovska, E-21-m-dnipropetrovska, tp-True-0-2-1
6, czechia, dnipropetrovska, E-81-f-dnipropetrovska, tp-True-0-2-1
6, czechia, dnipropetrovska, E-41-m-dnipropetrovska, tp-True-0-2-1
6, italy, odeska, E-40-f-odeska, tp-True-0-1-2
6, italy, odeska, E-0-m-odeska, tp-True-0-1-2
6, italy, odeska, E-36-f-odeska, tp-True-0-1-2
6, italy, odeska, E-73-f-odeska, tp-True-5-1-2
6, italy, odeska, E-64-f-odeska, tp-True-5-1-2
6, italy, odeska, E-56-f-odeska, tp-True-5-1-2
7, spain, dnipropetrovska, E-62-f-dnipropetrovska, tp-True-1-1-1
7, spain, dnipropetrovska, E-3-f-dnipropetrovska, tp-True-1-1-1
7, portugal, dnipropetrovska, E-28-f-dnipropetrovska, tp-True-5-5-2
7, portugal, dnipropetrovska, E-56-f-dnipropetrovska, tp-True-5-5-2
7, portugal, dnipropetrovska, E-48-f-dnipropetrovska, tp-True-5-5-2
7, portugal, dnipropetrovska, E-52-m-dnipropetrovska, tp-True-5-5-2
7, portugal, dnipropetrovska, E-51-f-dnipropetrovska, tp-True-5-5-2
7, portugal, dnipropetrovska, E-16-f-dnipropetrovska, tp-True-5-5-2
7, portugal, dnipropetrovska, E-29-m-dnipropetrovska, tp-True-5-5-2
8, germany, autonomous_republic_of_crimea, E-39-f-autonomous_republic_of_crimea, tp-True-5-2-2
8, germany, autonomous_republic_of_crimea, E-11-m-autonomous_republic_of_crimea, tp-True-5-2-2
8, germany, autonomous_republic_of_crimea, E-89-m-autonomous_republic_of_crimea, tp-True-5-2-2
8, germany, autonomous_republic_of_crimea, E-9-m-autonomous_republic_of_crimea, tp-True-5-2-2
8, spain, dnipropetrovska, E-38-f-dnipropetrovska, tp-True-5-2-0
8, spain, dnipropetrovska, E-53-m-dnipropetrovska, tp-True-5-2-0
8, italy, odeska, E-42-f-odeska, tp-True-5-2-2
8, italy, odeska, E-2-m-odeska, tp-True-5-2-2
8, italy, odeska, E-83-f-odeska, tp-True-5-2-2
8, italy, odeska, E-41-f-odeska, tp-True-5-2-2
9, france, zaporizka, E-61-m-zaporizka, tp-True-5-1-3
9, france, zaporizka, E-41-m-zaporizka, tp-True-5-1-3
9, france, zaporizka, E-35-f-zaporizka, tp-True-5-1-3
9, france, zaporizka, E-56-f-zaporizka, tp-True-5-1-3
10, poland, chernihivska, E-9-f-chernihivska, tp-True-5-1-0
10, poland, chernihivska, E-51-f-chernihivska, tp-True-3-3-2
10, poland, chernihivska, E-7-f-chernihivska, tp-True-3-3-2
10, poland, chernihivska, E-13-f-chernihivska, tp-True-3-3-2
10, poland, chernihivska, E-5-m-chernihivska, tp-True-3-3-2
10, poland, chernihivska, E-50-f-chernihivska, tp-True-3-3-2
10, slovakia, donetska, E-72-f-donetska, tp-True-5-3-2
10, slovakia, donetska, E-56-f-donetska, tp-True-5-3-2
10, slovakia, donetska, E-52-f-donetska, tp-True-5-3-2
10, slovakia, donetska, E-11-m-donetska, tp-True-5-3-2
10, slovakia, donetska, E-33-m-donetska, tp-True-5-3-2
10, czechia, dnipropetrovska, E-27-f-dnipropetrovska, tp-True-5-1-2
10, czechia, dnipropetrovska, E-15-m-dnipropetrovska, tp-True-5-1-2
10, czechia, dnipropetrovska, E-37-f-dnipropetrovska, tp-True-5-1-2
10, czechia, dnipropetrovska, E-30-m-dnipropetrovska, tp-True-3-1-0
10, germany, autonomous_republic_of_crimea, E-23-f-autonomous_republic_of_crimea, tp-True-5-3-0
10, germany, autonomous_republic_of_crimea, E-61-m-autonomous_republic_of_crimea, tp-True-5-3-0
10, germany, autonomous_republic_of_crimea, E-53-m-autonomous_republic_of_crimea, tp-True-5-3-0
10, croatia, autonomous_republic_of_crimea, E-6-m-autonomous_republic_of_crimea, tp-True-5-2-1
10, croatia, autonomous_republic_of_crimea, E-4-f-autonomous_republic_of_crimea, tp-True-5-2-1
10, croatia, autonomous_republic_of_crimea, E-12-f-autonomous_republic_of_crimea, tp-True-5-2-1
10, denmark, kharkivska, E-8-m-kharkivska, tp-True-5-3-3
10, denmark, kharkivska, E-60-f-kharkivska, tp-True-5-3-3
10, denmark, kharkivska, E-0-f-kharkivska, tp-True-5-3-3
