time,ukr-lvivska,ukr-zakarpatska,ukr-ivano-frankivska,ukr-ternopilska,ukr-rivnenska,ukr-volynska,ukr-zhytomyrska,ukr-khmelnytska,ukr-vinnytska,ukr-chernivetska,ukr-kyiv,ukr-kyivska,ukr-chernihivska,ukr-sumska,ukr-cherkaska,ukr-poltavska,ukr-kharkivska,ukr-dnipropetrovska,ukr-kirovohradska,ukr-odeska,ukr-mykolaivska,ukr-khersonska,ukr-donetska,ukr-zaporizka,ukr-luhanska,ukr-autonomous_republic_of_crimea,poland,slovakia,romania,hungary,republic_of_moldova,czechia,bulgaria,latvia,lithuania,estonia,germany,austria,croatia,spain,italy,netherlands,ireland,belgium,france,finland,portugal,sweden,denmark,greece,cyprus,slovenia
10/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,960,121,81,61,120,346,73,48,45,37,1171,80,26,204,172,114,108,81,68,63,61,41,35,32,20,13
11/2024,0,0,0,0,0,0,0,10,2,0,21,2,0,0,3,17,0,74,2,5,0,0,0,4,0,0,939,113,81,52,117,335,71,48,45,35,1129,80,26,197,162,109,106,77,68,58,57,41,35,32,15,13
12/2024,0,0,0,0,0,0,0,12,2,13,28,9,0,0,16,17,0,147,5,21,0,0,0,6,0,6,913,113,81,52,104,331,64,48,45,32,1090,76,26,190,160,98,106,77,55,58,55,41,29,27,15,13
1/2025,0,0,0,0,0,0,0,29,2,24,41,9,0,0,18,17,0,208,5,23,0,0,0,6,0,9,884,113,81,52,102,325,64,48,45,32,1064,76,26,179,143,98,106,75,44,58,55,41,26,25,15,13
2/2025,0,0,0,0,0,0,2,36,5,24,53,12,0,0,21,24,0,247,5,29,0,0,0,6,0,9,859,106,79,52,99,316,61,48,45,32,1059,76,26,167,136,96,103,75,44,58,55,41,26,21,15,13
3/2025,0,0,0,0,0,0,4,39,8,24,59,12,0,0,21,25,0,300,5,29,0,0,0,17,0,9,832,105,77,52,99,312,61,48,45,32,1041,76,26,164,133,96,100,72,44,58,44,37,26,21,15,13
4/2025,0,0,0,0,0,3,4,49,11,26,67,15,0,0,21,31,2,342,9,31,0,0,0,20,0,9,828,99,77,52,99,300,58,46,45,28,1015,76,23,158,123,96,97,70,42,58,41,37,26,19,15,13
5/2025,0,0,0,0,0,3,7,51,19,26,89,17,0,0,25,31,2,415,9,31,0,0,0,20,0,9,825,99,74,52,95,285,56,46,43,28,968,73,23,147,121,96,89,67,42,50,41,34,26,19,15,13
6/2025,0,0,0,0,0,3,7,64,19,30,102,21,0,0,29,38,2,482,9,33,0,0,0,20,0,9,818,95,74,49,91,257,52,46,43,28,942,73,23,134,108,94,89,67,38,50,41,28,26,19,15,13
7/2025,0,0,0,0,0,3,7,64,22,30,117,21,0,0,29,44,2,523,13,39,0,0,0,20,0,9,800,91,74,47,91,257,52,46,38,24,926,71,23,128,108,92,86,63,38,45,41,28,26,15,15,13
