time,ukr-lvivska,ukr-zakarpatska,ukr-ivano-frankivska,ukr-ternopilska,ukr-rivnenska,ukr-volynska,ukr-zhytomyrska,ukr-khmelnytska,ukr-vinnytska,ukr-chernivetska,ukr-kyiv,ukr-kyivska,ukr-chernihivska,ukr-sumska,ukr-cherkaska,ukr-poltavska,ukr-kharkivska,ukr-dnipropetrovska,ukr-kirovohradska,ukr-odeska,ukr-mykolaivska,ukr-khersonska,ukr-donetska,ukr-zaporizka,ukr-luhanska,ukr-autonomous_republic_of_crimea,poland,slovakia,romania,hungary,republic_of_moldova,czechia,bulgaria,latvia,lithuania,estonia,germany,austria,croatia,spain,italy,netherlands,ireland,belgium,france,finland,portugal,sweden,denmark,greece,cyprus,slovenia
10/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,958,123,80,61,123,346,73,49,46,40,1169,79,27,204,172,115,111,81,67,62,63,42,33,32,18,13
11/2024,4,0,0,0,0,19,17,0,45,0,0,0,16,0,0,0,0,0,0,0,3,8,0,6,2,2,939,123,76,61,120,341,72,49,46,40,1124,76,27,187,161,112,104,81,67,60,63,42,31,32,18,13
12/2024,4,0,3,0,0,57,21,0,66,0,0,0,44,0,2,0,0,4,0,0,6,15,0,23,2,2,901,123,76,61,113,323,72,49,44,36,1106,73,27,183,151,102,97,81,67,60,63,39,31,29,18,13
1/2025,4,4,3,0,0,72,34,0,88,0,0,0,63,0,4,0,0,4,0,0,12,32,17,27,2,2,886,107,76,61,113,307,72,45,42,36,1084,67,27,175,148,98,85,80,62,60,63,39,31,29,13,13
2/2025,6,6,6,0,0,98,52,0,115,3,0,0,79,0,4,0,0,4,0,0,15,34,22,38,2,2,860,102,74,58,109,302,72,43,42,36,1057,64,27,161,137,91,83,80,58,60,63,39,31,26,13,13
3/2025,6,7,6,0,0,115,67,0,152,3,0,0,92,0,4,0,0,4,0,0,15,41,24,44,9,4,843,100,74,58,109,298,68,42,42,36,1024,64,27,150,128,85,80,80,54,53,63,35,29,26,13,13
4/2025,6,7,8,0,0,137,70,0,170,6,5,0,103,0,4,0,5,4,0,0,15,46,29,51,12,4,821,97,74,55,109,289,66,42,42,36,1006,64,22,147,126,78,77,78,54,50,58,35,29,24,13,13
5/2025,15,7,10,0,0,146,74,0,180,6,11,0,107,0,4,0,5,10,0,0,15,54,38,57,15,4,812,92,65,55,107,289,62,42,42,30,996,64,22,143,122,74,73,74,54,47,52,35,29,22,13,13
6/2025,17,7,13,0,0,165,77,0,199,13,24,0,116,0,4,0,7,10,0,0,18,57,38,73,18,7,793,92,63,48,105,282,62,42,42,30,977,61,20,140,120,60,70,74,54,44,39,35,26,19,13,13
7/2025,17,7,13,0,0,174,80,0,200,15,28,0,134,0,4,0,7,10,0,0,18,57,43,77,18,7,784,92,63,46,104,270,62,42,42,30,976,61,20,137,114,57,70,69,54,44,35,35,26,19,13,13
8/2025,17,7,17,0,0,194,80,0,215,23,28,0,152,0,6,0,7,10,0,0,21,70,52,85,18,7,764,92,63,38,98,256,54,42,40,30,961,58,20,137,110,55,65,60,54,44,35,35,26,15,13,13
9/2025,19,7,19,0,0,205,88,0,225,23,28,0,160,0,9,0,7,10,0,0,21,77,56,85,18,12,753,88,61,38,98,253,54,42,37,30,951,58,20,133,105,55,60,60,50,44,35,35,21,13,11,13
10/2025,19,9,19,0,0,228,92,0,249,23,31,0,166,0,12,0,7,13,0,0,21,77,72,102,18,12,730,75,61,38,85,247,54,40,34,27,931,58,20,129,105,51,60,57,50,44,35,31,21,13,11,10
